,question,answer,response,mapping,response_answer,equations,
659,Allan brought c0 balloons and Jake brought c1 balloons to the park. Jake then bought c2 more balloons at the park.How many more balloons did Allan have than Jake in the park?,1,"Allan brought c0 balloons and Jake brought c1 balloons. After Jake bought c2 more balloons, he had c1 + c2 balloons. 
jake_total_balloons = c1 + c2
Allan had c0 balloons, so he had c0 - jake_total_balloons fewer balloons than Jake. 
balloons_difference = c0 - jake_total_balloons
The answer is balloons_difference.","{'c0': 6.0, 'c1': 2.0, 'c2': 3.0}",1,"['jake_total_balloons =  c1 + c2', 'balloons_difference =  c0 - jake_total_balloons', 'answer = balloons_difference']",1
660,Faye was placing her pencils and crayons into c0 rows with c1 pencils and c2 crayons in each row.How many pencils does she have?,76,"Faye has c0 rows with c1 pencils in each row, so she has c0 * c1 pencils in total. 
total_pencils = c0 * c1
The answer is total_pencils.","{'c0': 19.0, 'c1': 4.0, 'c2': 27.0}",76,"['total_pencils =  c0 * c1', 'answer = total_pencils']",1
661,The Razorback t-shirt shop sells each t-shirt for $ c0 dollars. During the Arkansas and Texas tech game they increased the prices by $ c1 per t-shirt and sold c2 t-shirts.How much money did they make from selling the t-shirts?,5852,"The original price of each t-shirt was c0 dollars. They increased the price by c1 dollars per t-shirt, so the new price was c0 + c1 dollars per t-shirt. They sold c2 t-shirts at this price, so the total amount of money they made was (c0 + c1) * c2 dollars. 
total_money = (c0 + c1) * c2
The answer is total_money.","{'c0': 201.0, 'c1': 217.0, 'c2': 14.0}",5852,"['total_money =  (c0 + c1) * c2', 'answer = total_money']",1
662,Ed had c0 more marbles than Doug. Ed lost c1 of his marbles at the playground. If Ed had c2 marblesHow many marbles does Doug have now?,5,"Ed started with c0 more marbles than Doug, so Doug had c2 - c0 marbles. 
doug_marbles = c2 - c0
After Ed lost c1 marbles, he had c2 - c1 marbles. 
ed_marbles = c2 - c1
Since Ed and Doug had the same number of marbles originally, they now have the same number of marbles. 
doug_marbles = ed_marbles
The answer is doug_marbles or ed_marbles.","{'c0': 12.0, 'c1': 20.0, 'c2': 17.0}",-3,"['doug_marbles =  c2 - c0', 'ed_marbles =  c2 - c1', 'doug_marbles =  ed_marbles', 'answer = doug_marbles or ed_marbles']",0
663,Lawrence county has c0 kids. During summer break c1 kids stay home and the rest go to camp.How many kids go to the camp during the break?,38608,"During summer break, c1 kids stay home. So the number of kids going to camp is c0 - c1. 
kids_at_camp = c0 - c1
The answer is kids_at_camp.","{'c0': 313473.0, 'c1': 274865.0}",38608,"['kids_at_camp =  c0 - c1', 'answer = kids_at_camp']",1
664,The Razorback shop makes $ c0 dollars off each jersey and $ c1 off each t-shirt. During the Arkansas and Texas tech game they sold c2 t-shirts and c3 jerseys.How much more does a t-shirt cost than a jersey?,30,"The Razorback shop makes c0 dollars off each jersey and c1 dollars off each t-shirt. During the game, they sold c2 t-shirts and c3 jerseys. The total revenue from t-shirts is c1 * c2 and the total revenue from jerseys is c0 * c3. 
tshirt_revenue = c1 * c2
jersey_revenue = c0 * c3
The difference in revenue between a t-shirt and a jersey is tshirt_revenue - jersey_revenue. 
revenue_difference = tshirt_revenue - jersey_revenue
To find out how much more a t-shirt costs than a jersey, we divide the revenue difference by the number of t-shirts sold: 
cost_difference = revenue_difference / c2
The answer is cost_difference.","{'c0': 210.0, 'c1': 240.0, 'c2': 177.0, 'c3': 23.0}",212.7118644,"['tshirt_revenue =  c1 * c2', 'jersey_revenue =  c0 * c3', 'revenue_difference =  tshirt_revenue - jersey_revenue', 'cost_difference =  revenue_difference / c2', 'answer = cost_difference']",0
665,Dan has $ c0. He bought a candy bar for $ c1 and a chocolate for $ 6.How much money did he spend buying the candy bar and chocolate?,13,"Dan had c0 dollars. He spent c1 dollars on a candy bar and 6 dollars on a chocolate. 
total_spent = c1 + 6
The answer is total_spent.","{'c0': 4.0, 'c1': 7.0}",13,"['total_spent =  c1 + 6', 'answer = total_spent']",1
666,Jerry had c0 action figures and c1 books on a shelf in his room. Later he added c2 more action figures to the shelf.How many action figures were on his shelf in all?,10,"Jerry started with c0 action figures and added c2 more. So the total number of action figures on the shelf is c0 + c2. 
total_action_figures = c0 + c2
The answer is total_action_figures.","{'c0': 4.0, 'c1': 22.0, 'c2': 6.0}",10,"['total_action_figures =  c0 + c2', 'answer = total_action_figures']",1
667,Mary is baking a cake. The recipe calls for c0 cups of sugar and some more cups of flour. She already put in c1 cups of flour. If she still needs to add c2 more cups of flourHow many cups of flour did the recipe require?,9,"The recipe calls for c0 cups of sugar and some more cups of flour. Mary already put in c1 cups of flour, and still needs to add c2 more cups. So in total, she needs to add c1 + c2 cups of flour. 
total_flour_needed = c0 + c1 + c2
The answer is total_flour_needed.","{'c0': 11.0, 'c1': 3.0, 'c2': 6.0}",20,"['total_flour_needed =  c0 + c1 + c2', 'answer = total_flour_needed']",0
668,Baker made c0 cakes and c1 pastries. If he sold c2 cakes and c3 pastriesHow many more pastries than cakes did baker sell?,24,"Baker made c0 cakes and c1 pastries. He sold c2 cakes and c3 pastries. So he sold c3 - c2 more pastries than cakes. 
pastries_sold = c3 - c2
cakes_sold = c2
The difference between pastries_sold and cakes_sold is pastries_sold - cakes_sold. 
difference = pastries_sold - cakes_sold
The answer is difference.","{'c0': 54.0, 'c1': 143.0, 'c2': 68.0, 'c3': 92.0}",-44,"['pastries_sold =  c3 - c2', 'cakes_sold =  c2', 'difference =  pastries_sold - cakes_sold', 'answer = difference']",0
669,c0 birds and c1 storks were sitting on the fence. c2 more birds came to join them.How many birds and storks are sitting on the fence?,10,"There were originally c0 birds and c1 storks on the fence. c2 more birds came to join them, so the total number of birds is c0 + c2 and the total number of storks is c1. 
total_birds = c0 + c2
total_storks = c1
The answer is total_birds and total_storks.","{'c0': 3.0, 'c1': 2.0, 'c2': 5.0}",2,"['total_birds =  c0 + c2', 'total_storks =  c1', 'answer = total_birds and total_storks']",0
670,Julia played tag with c0 kids on monday and c1 kids on tuesday. She played cards wtih c2 kids on wednesday.How many kids did she play tag with altogether?,20,"Julia played tag with c0 kids on monday and c1 kids on tuesday. So in total, she played tag with c0 + c1 kids. 
tag_kids = c0 + c1
She also played cards with c2 kids on wednesday, but we only need to know the total number of kids she played tag with. 
The answer is tag_kids.","{'c0': 7.0, 'c1': 13.0, 'c2': 20.0}",20,"['tag_kids =  c0 + c1', 'answer = tag_kids']",1
671,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by c0 of the pickers that they fill c1 drums of grapes per day.How many days will it take to fill c2 drums of grapes?",30,"Each day, c1 drums of grapes are filled. To fill c2 drums of grapes, it will take c2/c1 days. 
days_to_fill = c2/c1
The answer is days_to_fill.","{'c0': 36.0, 'c1': 8.0, 'c2': 240.0}",30,"['days_to_fill =  c2/c1', 'answer = days_to_fill']",1
672,Bobby ate c0 pieces of candy. If he initially had c1 pieces of candyHow many pieces of candy does he still have left?,7,"Bobby started with c1 pieces of candy. After eating c0 pieces, he has c1 - c0 pieces left. 
candy_remaining = c1 - c0
The answer is candy_remaining.","{'c0': 23.0, 'c1': 30.0}",7,"['candy_remaining =  c1 - c0', 'answer = candy_remaining']",1
673,The Ferris wheel in paradise park has c0 seats. Each seat can hold c1 people. If c2 seats are brokenHow many people can ride the Ferris wheel at the same time?,120,"The Ferris wheel has c0 seats, and each seat can hold c1 people. So the total number of people that can ride the Ferris wheel at the same time is c0 * c1. However, c2 seats are broken, so we need to subtract the number of people that cannot ride due to the broken seats. Each broken seat can hold c1 people, so the total number of people that cannot ride is c2 * c1. Therefore, the total number of people that can ride the Ferris wheel at the same time is (c0 * c1) - (c2 * c1), which simplifies to (c0 - c2) * c1. The answer is (c0 - c2) * c1.","{'c0': 18.0, 'c1': 15.0, 'c2': 10.0}",120,"['The Ferris wheel has c0 seats, and each seat can hold c1 people']",1
674,Robin's hair was c0 inches long. He cut off c1 inches. Then it again grew by c2 inches.How long is his hair now?,17,"Robin's hair was originally c0 inches long. After cutting off c1 inches, it was c0 - c1 inches long. 
hair_after_cutting = c0 - c1
After growing by c2 inches, it is hair_after_cutting + c2 inches long. 
current_hair_length = hair_after_cutting + c2
The answer is current_hair_length.","{'c0': 16.0, 'c1': 11.0, 'c2': 12.0}",17,"['hair_after_cutting =  c0 - c1', 'current_hair_length =  hair_after_cutting + c2', 'answer = current_hair_length']",1
675,Frank was reading through his favorite book. The book had c0 pages equally distributed over c1 chapters. It took Frank c2 days to finish the book.How many chapters did he read per day?,44,"The book had c0/c1 pages per chapter. Frank finished the book in c2 days, so he read c0/c2 pages per day. 
pages_per_day = c0/c2
Since each chapter has c0/c1 pages, Frank read c0/c1 chapters per day. 
chapters_per_day = c0/c1/c2
The answer is chapters_per_day.","{'c0': 193.0, 'c1': 15.0, 'c2': 660.0}",0.019494949,"['pages_per_day =  c0/c2', 'chapters_per_day =  c0/c1/c2', 'answer = chapters_per_day']",0
676,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped c0 inches. The grasshopper jumped c1 inches farther than the frog and the mouse jumped c2 inches lesser than the frog.How far did the frog jump?",15,"The grasshopper jumped c0 inches. The frog jumped c1 inches less than the grasshopper, so the frog jumped c0 - c1 inches. The mouse jumped c2 inches less than the frog, so the mouse jumped (c0 - c1) - c2 inches. Therefore, the frog jumped c0 - c1 inches. The answer is c0 - c1.","{'c0': 19.0, 'c1': 4.0, 'c2': 44.0}",15,['The grasshopper jumped c0 inches'],1
677,Winter is almost here and most animals are migrating to warmer countries. There are c0 bird families living near the mountain. If c1 bird families flew away to africa and c2 bird families flew away to asiaHow many bird families flew away for the winter?,118,"c1 + c2 bird families flew away for the winter. 
total_birds_flew_away = c1 + c2
The answer is total_birds_flew_away.","{'c0': 18.0, 'c1': 38.0, 'c2': 80.0}",118,"['total_birds_flew_away =  c1 + c2', 'answer = total_birds_flew_away']",1
678,Matthew had c0 crackers. He has c1 crackers left after he gave equal numbers of crackers to his c2 friends.How many crackers did each friend eat?,6,"Matthew started with c0 crackers. After giving equal numbers to c2 friends, he had c1 crackers left. So he gave away c0 - c1 crackers in total. 
crackers_given = c0 - c1
Each friend received an equal number of crackers, so they each received crackers_given / c2 crackers. 
crackers_per_friend = crackers_given / c2
The answer is crackers_per_friend.","{'c0': 23.0, 'c1': 11.0, 'c2': 2.0}",6,"['crackers_given =  c0 - c1', 'crackers_per_friend =  crackers_given / c2', 'answer = crackers_per_friend']",1
679,Rachel's tree had c0 apples. She picked c1 apples from her tree. Thereafter c2 new apples grew on the tree.How many apples are there on the tree now?,1,"Rachel started with c0 apples. After picking c1, she had c0 - c1 apples left. 
apples_left = c0 - c1
After c2 new apples grew, she had apples_left + c2 apples on the tree. 
total_apples = apples_left + c2
The answer is total_apples.","{'c0': 4.0, 'c1': 2.0, 'c2': 3.0}",5,"['apples_left =  c0 - c1', 'total_apples =  apples_left + c2', 'answer = total_apples']",0
680,Summer is almost here and most animals are migrating back to cooler countries. There are c0 bird families living near a mountain. If c1 new bird families joined themHow many bird families live near the mountain now?,105,"There were originally c0 bird families. c1 new bird families joined them. So the total number of bird families is c0 + c1. 
total_bird_families = c0 + c1
The answer is total_bird_families.","{'c0': 87.0, 'c1': 18.0}",105,"['total_bird_families =  c0 + c1', 'answer = total_bird_families']",1
681,Danny collects bottle caps and wrappers. He found c0 bottle caps and c1 wrappers at the park. Now he has c2 wrappers and c3 bottle caps in his collection.How many more wrappers than bottle caps does danny have now?,32,"Danny started with c0 bottle caps and c1 wrappers. Now he has c2 wrappers and c3 bottle caps. He gained c2 - c1 wrappers and c3 - c0 bottle caps. 
wrappers_gained = c2 - c1
bottle_caps_gained = c3 - c0
He has c2 - c1 more wrappers than before and c3 - c0 fewer bottle caps than before. So the difference between the number of wrappers and bottle caps is:
wrapper_bottlecap_diff = (c2 - c1) - (c3 - c0)
The answer is wrapper_bottlecap_diff.","{'c0': 15.0, 'c1': 18.0, 'c2': 67.0, 'c3': 35.0}",29,"['wrappers_gained =  c2 - c1', 'bottle_caps_gained =  c3 - c0', 'wrapper_bottlecap_diff =  (c2 - c1) - (c3 - c0)', 'answer = wrapper_bottlecap_diff']",0
682,Melissa scored a total of c0 points in c1 games scoring the same for each game.How many points did she score in each game?,7,"Melissa scored c0 points in c1 games. If she scored the same amount in each game, then she scored c0/c1 points in each game. 
points_per_game = c0/c1
The answer is points_per_game.","{'c0': 91.0, 'c1': 13.0}",7,"['points_per_game =  c0/c1', 'answer = points_per_game']",1
683,Robin's hair was c0 inches long. He cut off some inches of her hair. If his hair is now c1 inches longHow much of his hair did he cut?,4,"Robin's hair was originally c0 inches long. After cutting off some inches, it became c1 inches long. So he cut off c0 - c1 inches of his hair. 
hair_cut = c0 - c1
The answer is hair_cut.","{'c0': 17.0, 'c1': 13.0}",4,"['hair_cut =  c0 - c1', 'answer = hair_cut']",1
684,Baker made c0 pastries and c1 cakes. If he sold c2 cakes and c3 pastriesHow many pastries would baker still have?,27,"Baker started with c0 pastries and c1 cakes. After selling c2 cakes and c3 pastries, he would have c0 - c3 pastries left. 
pastries_remaining = c0 - c3
The answer is pastries_remaining.","{'c0': 56.0, 'c1': 124.0, 'c2': 104.0, 'c3': 29.0}",27,"['pastries_remaining =  c0 - c3', 'answer = pastries_remaining']",1
